,Unnamed: 0,0,1,2,grade
659,659,Royal Exit,"{'People', 'World'}","
Britain’s Prince Harry and Meghan Markle made an announcement on January 8. The duke and duchess of Sussex said they would “step back as ‘senior’ members” of the royal family. The message appeared on their Instagram page.
The two say they want to lead lives separate from the royal family. They plan to support themselves financially. They will split their time between the United Kingdom and North America.
No member of the royal family has ever “stepped back” in this way. A royal’s job is to support  and do other work that benefits the public.
Harry and Meghan said they will “honor our duty” to Britain. But they plan to focus on their own charity. They also want privacy as they raise their son, Archie. They say British newspapers have printed unfair stories about them.
On January 13, Queen Elizabeth  a statement. The royal family is “supportive of Harry and Meghan’s desire to create a new life,” she said. “We respect and understand their wish.”
Stop and Think! Why does the press report on public figures, such as Prince Harry and Meghan Markle? What might lead a public figure to say that a story is unfair?
",g3456
660,660,Teen Finds New Planet,"{'Science', 'Space'}","
NASA recently announced a new planet. It was discovered by 17-year-old Wolf Cukier during his summer internship at NASA’s Goddard Space Flight Center, in Maryland. Wolf monitored data collected from TESS, a NASA satellite. TESS stands for Transiting Exoplanet Survey Satellite. Its mission is to find planets outside our solar system.
Wolf noticed a signal from planetary system TOI 1338. TOI stands for TESS Object of Interest. “I thought it was a stellar eclipse, but the timing was wrong,” he said, according to NASA. “It turned out to be a planet.”
The planet is called TOI 1338 b. It’s nearly seven times the size of Earth. It’s “like Tatooine from Star Wars” because it orbits two stars, Wolf told TIME for Kids.

Read an edited interview with Wolf below.
Tell us about your internship at NASA.
I got the NASA internship as part of the science-research program at my high school. My job was to look through previously collected data from the TESS.
What is TESS?
TESS is the telescope satellite that launched a couple of years ago to collect data. It was a joint collaboration between NASA and MIT [the Massachusetts Institute of Technology].
How did you find the new planet?
It took some time. I was working with my mentor at NASA, Veselin Kostov. We were trying to find a circumbinary planet within the TESS data. A circumbinary planet is a planet that orbits two stars at the same time—so like Tatooine, from Star Wars.
I found about a hundred potentially interesting targets. I brought all of them to my mentor. But one was the most exciting of them all. I put about 10 asterisks next to it in my spreadsheet.
How do you feel about all of the attention your discovery is getting?
All the coverage is kind of overwhelming, because I thought it would make a small ripple in science news and that would be about it. But this is like the 17th or 18th interview I've given! It amazes me how much this has been covered.
What advice do you have for kids who aspire to make scientific discoveries?
I would tell them to just do stuff! I joined the science-olympiad team at my middle school, and that was a great experience. I'm still doing science olympiad now in high school. I would tell people that if they want to do science, just start doing science: tinker with stuff, or do a project.
",g3456
661,661,Closing the Gap,"{'Places', 'Technology'}","
Students in Talladega County, Alabama, are given a laptop or a tablet. They use them in class and at home.
But Talladega County is in  Alabama. Many students live in small towns or in the countryside. Internet access is delivered using towers and underground cables. But they don’t always reach these areas. In some homes, it’s impossible to access the Internet.
Experts call this the “homework gap.” That’s because it’s difficult for some students to do homework online. “When you go home at the end of the day and you can no longer access the same information and technology tools as some of your classmates—that’s the homework gap,” Beth Holland told TIME for Kids. She works at the Consortium for School Networking.
Driving Change
About one in five homes with school-age kids doesn’t have high-speed Internet access. That’s according to a Pew Research study. And 17% of teens say lack of steady Internet sometimes means they can’t do homework. “Kids are being  from learning opportunities,” Holland says.
Schools around the country have found creative ways to close the homework gap. In some school libraries, students can borrow mobile hot spots. These use cell-phone networks to access the Internet. Students in some communities have created Wi-Fi maps. These let kids know about local businesses, such as cafés, which provide Internet to their customers.
Talladega County created “rolling study halls.” Many students ride the bus to and from school each day. The average ride each way is an hour. Some are as long as 90 minutes.
In 2018, wireless Internet was installed on six school buses. Now students do homework while they ride. A teacher comes along to help.
Vicky Ozment is the deputy superintendent for Talladega County Schools. She says rolling study halls have “leveled the playing field.”
",g3456
662,662,Find the Facts,"{'Business', 'People'}","
More than half of teens learn about the news from social-media sources and YouTube videos. That’s according to a 2019 Common Sense Media survey. But the information on those sites is not always trustworthy.
“There’s more misinformation out there than ever,” Jordan Mamone says. He works as a fact-checker at TIME for Kids. “It’s really important to learn about your sources,” he adds. Mamone works with writers and editors to make sure people can trust what they read.
Getting It Right
Mamone  all of the facts in an issue of TFK before it is published. How does he do this? First, he reads each article. He underlines information that can be proven. Examples include numbers and historical details. He then looks for a primary source to confirm the information. Primary sources are firsthand accounts. They include official websites and autobiographies.
If Mamone can’t find a primary source, he’ll look for three secondary sources to confirm a fact. Secondary sources describe what a primary source says. They include newspaper articles and books. Mamone doesn’t rely on every secondary source. He avoids those that are outdated or . He also skips sources that may not have been fact-checked. These include personal blogs.
Merrill Fabry is also a fact-checker. She works for TIME magazine. When fact-checking, she pays attention to even the smallest details. “For example, if someone writes ‘a stack of books’ in an article, I need to find out if it’s really a ‘stack’ or if it’s just a couple of books,” Fabry says.
What’s the best part of being a fact-checker? “I really enjoy getting to work with writers and editors,” Fabry says. “It can be very .” Mamone sees another benefit: “The topics that you’re researching are constantly changing,” he says. “You’re always learning!”
",g3456
663,663,Animal Adventures,"{'Movies and Television', 'Time Off'}","
Dr. John Dolittle is a veterinarian with a gift: He can talk to animals. The character first appeared 100 years ago in the novel The Story of Doctor Dolittle. His adventures have been made into movies. Dolittle is the latest.
In the film, England’s Queen Victoria becomes ill. Dr. Dolittle sets out in search of a cure. During his travels, his friends are there to help. They include a gorilla, a duck, and a polar bear.
Tommy Stubbins, Dr. Dolittle’s helper, joins him on the trip. Actor Harry Collett (pictured, center right), 16, plays Tommy. “When Tommy goes on this massive quest with Dolittle, he learns to bring out his inner self,” Harry told TFK Kid Reporter Mira McInnes. “He becomes a more brave and exciting person.” Dolittle hits theaters January 17.
",g3456
664,664,Iggy's World,"{'Books', 'Time Off'}","
Nine-year-old Iggy Frangi isn’t afraid to be himself. He has a lot of great ideas. But sometimes, they don’t go according to plan. The Best of Iggy is about the misadventures of this mischievous boy. Author Annie Barrows calls him a “kid who is living in the moment.”
Barrows also wrote the popular series Ivy + Bean. It’s about two girls who are best friends, even though their personalities are very different. Barrows told TFK that Iggy’s character was inspired by the young readers she met while traveling to schools to talk about the books. Some kids seemed to be troublemakers, like Iggy. But Barrows knew there was more to them. “Just because somebody calls you a troublemaker doesn’t mean you’re bad at all,” she says.
",g3456
665,665,Moving Mountains,"{'Science', 'Inventions'}","
What do you imagine when you hear the word inventor? Many people picture Thomas Edison holding a lightbulb, or Alexander Graham Bell talking on the first telephone. But not all inventors are in our history books.
New inventions are being dreamed up and designed every day. Today’s inventors follow the same path that inventors did in the past: They identify a problem and create something to solve it. That can sometimes mean overcoming obstacles, but inventors always find a way. 
TIME for Kids spoke to six young inventors who have done just that. They are improving the world and making history. 
Two Helpful Apps

Neil Deshmukh’s introduction to  (AI) came three years ago. He wanted to keep his little brother out of his bedroom. That way, he could keep him away from his Nintendo DS. So Neil built a device. It could tell the difference between his brother’s face and Neil’s own. It would then lock or unlock the door. “In the very beginning, I was a tinkerer,” Neil told TFK. 
Neil is now 17. He has created two apps. One of them is PlantumAI. It uses data to help farmers detect and  crop disease. The other is called VocalEyes. It describes photographs out loud. This helps people who are blind or who have low vision.
Neil has a personal interest in the problems he’s chosen to tackle. In India, he saw the effect of crop disease on a village near where his parents were born. And his grandmother has low vision. He created VocalEyes with her in mind.
Neil lives in Pennsylvania. His work has won awards from companies such as Google, T-Mobile, and General Motors. —By Rebecca Katzman
 A Better Cane

Riya Karumanchi met a woman who had trouble seeing. The woman used a white cane to get around. Riya was surprised that even with the cane, the woman struggled. She often bumped into objects that stood higher than knee level. 
Riya assumed the cane came with cutting-edge technology. But she soon learned that wasn’t true. “It’s just a stick,” she says. “My initial thought was like, ‘What? How is nobody working on this?’”
Riya decided to work on it herself. At age 14, she engineered a device. It’s now called SmartCane. It uses sensors to spot obstacles and wet surfaces. It vibrates to alert the user to a dangerous situation. GPS navigation gives directions through vibrations and audio. An emergency button connects the user to first responders or loved ones.
Riya is now 16 and a high school student in Canada. She’s also the founder and CEO of the SmartCane company. She hopes to one day distribute the device through the Canadian National Institute for the Blind. —By Shay Maunz
Braigo for the Blind

Shubham Banerjee loved Legos as a kid. But he didn’t use the classic plastic bricks to build castles or spaceships. He used them to make a product that could help people who are blind.
At age 12, Shubham needed an idea for a science fair. He was inspired by a flyer. It asked for donations for the blind. Shubham used the materials in his Lego Mindstorms EV3 robotics kit to create a Braille printer. It was much cheaper and lighter than any other Braille printer available.
A year later, Shubham and his parents founded a company. It’s called Braigo Labs Inc. Shubham made a new, metal version of the printer with help from . That printer would cost $350 to buy. Other Braille printers can cost $2,000.
Shubham is now 18. He’s studying business and engineering at the University of California, Berkeley. He has  for the Braigo printer. But he’s not sure what he’ll do with them. He says he might sell the company or “hold off until after my studies.” —By Ellen Nam
Passion for STEM

When she was 7, Gitanjali Rao invented a new kind of folding chair. Her design didn’t work. But that didn’t stop her from coming up with ideas. 
Now 14, Gitanjali is an experienced inventor. In 2017, she won the 3M Young Scientist Challenge for Tethys. Tethys is a device that detects lead in drinking water. Gitanjali invented it after learning about the water crisis in Flint, Michigan. “I really wanted to go after this problem,” she says. “Each and every one of us has a right to know what’s in our water.”
Gitanjali’s new invention tackles cyberbullying. It’s an app called Kindly. Kindly spots and prevents mean online messages. “I’m going to throw a launch party at school,” says the ninth grader from Lone Tree, Colorado. “You need a party for everything.”
Gitanjali isn’t always in the lab. She also enjoys teaching. Her “innovation sessions” have attracted about 20,000 kids. “My mom has always told me that I’m good at explaining complicated concepts,” she says. “I want to work with students to find and develop their passion for STEM.” —By Jaime Joyce
Warming Up the Water

Xóchitl Guadalupe Cruz López grew up in a home that was often without hot water. So did many of the other residents of her hometown of San Cristóbal de las Casas. That’s in Chiapas, Mexico. 
When she was 8, Xóchitl invented Warm Bath. It’s a solar-powered water heater made from recycled materials. “People here have to take baths with cold water. They have a lot of diseases,” she says, through an interpreter. “I wanted to do something.”
The Warm Bath  is made of objects that are easy to get. These include water bottles, a rubber hose, and plastic connectors. It costs about $30 to assemble. 
Xóchitl, who’s now 11, created Warm Bath with the National Autonomous University of Mexico’s adopt-a-talent science program, PAUTA. In 2018, Xóchitl was the first child to receive the university’s Institute of Nuclear Sciences Recognition for Women award. When she found out, “the only thing I could think about was telling my parents and my brother,” she says. —By Constance Gibbs
Saving the Seas

Fionn Ferreira, 19, has always loved the sea. He grew up near the ocean, in Ireland. He often went kayaking and volunteered at beach cleanups. And Fionn has always loved science. His two passions met in 2017. That’s when he began looking for an eco-friendly way to remove microplastics from water. 
The process Fionn developed won him the 2019 Google Science Fair. His method uses a magnetic liquid. It’s called ferrofluid. When added to water, ferrofluid sticks to microplastics. Magnets can then be used to remove the ferrofluid from the water. More than 85% of the microplastics are removed along with it, Fionn says.
Fionn built most of the tools he needed to test his method at home. There were hiccups along the way. “Some worked. Some didn’t. Some things blew up. Some caught fire,” he says. “The fuses of our house were constantly blowing!”
Fionn wants to continue his research. He also wants to inspire more kids to get involved in STEM. —By Karena Phan
",g3456
666,666,Fires in Australia,"{'Environment', 'World'}","
Since September, bush fires have been burning in Australia. Drought and a heat wave are feeding the flames. Officials say this fire season is one of the worst in the country’s history.
“We have no idea where this is going to end,” David Bowman says. He’s a scientist at the University of Tasmania. “Australia’s vegetation is highly flammable. The fire [is] not going to run out of fuel.”
Wildfire has burned about 17 million acres so far. That’s more than twice the size of the state of Maryland. At least 25 people have died. Thousands have been evacuated.
Aid has poured in from around the world. New Zealand, Canada, and the United States have sent firefighters and other helpers. Australia’s military is delivering food and water to affected towns.
Scott Morrison is Australia’s prime minister. On January 6, he said his government would spend an additional 2 billion Australian dollars ($1.4 billion U.S.) to rebuild damaged towns. He had already promised AUD $20 million ($14 million U.S.) for the recovery effort.

Australia is a major producer of . They are a cause of climate change. Hot, dry weather makes wildfires worse. Critics say Morrison is not doing enough to fight climate change. Morrison says his government is “meeting and beating” its targets. He also argues that climate change is just one of “many other factors” causing the fires.
The bush fires have had a big impact on wildlife. Areas where species such as the koala live are being wiped out. Animal-rescue teams have landed on Kangaroo Island, in South Australia. Heidi Groffen is an ecologist. She thinks some mouselike dunnarts there may have found safety in rock . “We’re hoping to bring some into captivity before they are completely gone,” Groffen says.



Stop and Think! How do the photographs support the story? Many other photos have been taken of the Australian bushfires. Why do you think TIME for Kids editors chose these photos?
",g3456
667,667,What's She Building in There?,"{'Books', 'Time Off'}","
Penny Rose is new in town. She has no friends, and spends most of her time in a shed in the backyard. There, she plays around with tools and junk parts to create her own robots.
One day, she stumbles into her neighbor Lark’s yard. The trees are filled with elaborate birdhouses. Weird Little Robots author Carolyn Crimi writes, “From the moment she saw those birdhouses, she knew, she just knew, that Lark was just like her: she couldn’t resist making something from nothing, either.” Soon, Penny Rose and Lark are best friends.
Penny Rose loves science. But Crimi says people with other interests can get satisfaction from tinkering, too. “I want all kids to have fun and create things,” she told TFK.
",g3456
668,668,Hands-On Science,"{'Young Game Changers', 'Time Off'}","
In SciGirls, real middle school girls ask big science questions. Then they journey to find the answers. Along the way, they meet professional scientists and learn about how these people do their work.
The show’s new season airs this winter on PBS (check local listings). It focuses on computer science. In the first episode, Claire Opal-Levine, 13 (pictured, center), and two other girls learn about marine biology and coding. “We met researchers and learned how they collect data,” Claire told TIME for Kids.
In future episodes, SciGirls will explore how computer science can be applied to everything from the arts to board games. “Anyone can do science,” Claire says. “It doesn’t matter who you are.”
",g3456
669,669,Best Inventions of 2019,"{'Technology', 'Inventions'}","
Every year, TIME magazine names the year’s best inventions. This year, the list includes robotic hands, recyclable footwear—what will they think of next? Inventors are always at work, dreaming up new technologies. Some inventions help us solve problems. Others make life easier, or more fun. Here, TFK presents 10 of our favorite inventions. Next week, look for our issue on amazing young inventors.
Got Wheels?

Want to upgrade your bike from pedal-powered to electric? You can, with this e-bike wheel from GEOORBITAL. Riders control their speed using a  connected to the handlebars. A three-hour battery charge allows for a ride of 20 miles. Michael Burtov is the company’s founder and CEO. He says the wheel’s design makes bicycles more efficient. “Regular wheels have a lot of empty, wasted space in them,” Burtov says. “Now they don’t.” —Alex Fitzpatrick
Stopping Sickness

Christine Schindler is an engineer. She wanted to help stop the spread of  illnesses, so she created PATHSPOT. It uses light to scan a person’s hands for harmful germs, such as E. coli. Restaurant employees hold their hands under the scanner. The scanner evaluates whether they must be rewashed. Some popular restaurants have already started using the product. These include Chopt and Pokéworks locations. —Jamie Ducharme
Play By Sight

Want to learn how to play piano? The company Roli wants to help, with Lumi. The small LUMI keyboard lights up. This allows users to see which keys to press. Users can learn their favorite songs. Then they can work their way up to full music lessons. “We hope that Lumi closes the gap between people’s love of music and their fear about playing it,” says Roli’s Will MacNamara. The company plans to roll out Lumi to schools across the United States. It will be available to the wider public soon. —Jasmine Aguilera
Future Farm

Millions of people around the world suffer from  insecurity. AEROFARMS says its indoor farming technology can help. No dirt is needed. Instead, crops grow in reusable cloth. The cloth is made from recycled water bottles. The plants are watered with mist. This requires 95% less water than field farming. AeroFarms has produced enough food to sell to grocery chains and restaurants. “We’re the only commercial grower in the world doing what we’re doing,” says cofounder Marc Oshima. —Justin Worland
A Lifelike Hand

The BRAINROBOTICS  hand is a first in its field. It is an artificial-intelligence (AI) device. It is programmed to learn from its user. The hand becomes more lifelike with each use. Its sensors process muscle signals from the user’s arm. This allows for better control. One person was able to play piano with it. Max Newlon of BrainCo says, “We hope our invention gives amputees the ability to control prosthetics just like they are using their real hands.” —Josiah Bates
An AI-Powered Teacher

This robot may look like a cute alien. But don’t let it fool you. It’s actually an AI-powered tool. It helps kids learn language and STEM skills. ROYBI ROBOT responds to your learning style. It can recognize emotions. It then delivers the content you enjoy most. With the robot, you can hear a story, sing a song, or learn a lesson. Kayla Prochnow works at Roybi. She says the robot gives kids personalized education and hopes it will build a strong foundation for success. —Madeleine Carlisle
Talking Eyes

For people who are blind or have another visual impairment, the ORCAM MYEYE 2 could be a game changer. It might also be useful to people with reading difficulties, such as . Described as “talking glasses,” this AI device attaches to any eyeglass frame. It can identify faces. It can also read text aloud. Fitting all this power into such a small device is like “putting an elephant in a small closet,” says Amnon Shashua. He invented the technology. —Sanya Mansoor
Sport-Safe

Research shows that playing football increases risk of brain injury. Still, about a million kids under the age of 13 play tackle football. That’s according to the Sports & Fitness Industry Association. The VICIS ZERO1 YOUTH football helmet can help keep kids safe. It has thick support on the front and sides. That’s where kids are likely to take the hardest hits on the field. Players on 1,500 youth teams have now worn the helmet. —Sean Gregory
Fresh Kicks

At first, these sneakers look no different from any other running shoes. The innovation comes when you’re done with them. You don’t need to throw them away. You can return them to Adidas. Then 100% of each FUTURECRAFT.LOOP shoe can be reused to make new ones. James Carnes works for Adidas. He says the shoes are meant to be a first step to “clean up some of the environmental impact that we create” each year.  —Madeleine Carlisle
Joyride

“We basically want to turn every vehicle into a moving theme park,” says Nils Wollny. He’s a cofounder of a virtual-reality (VR) company called HOLORIDE. The company has developed a VR app. It reads vehicle data, such as  and turning. That info becomes part of the VR experience. If you’re flying a virtual spaceship and the car turns left, the spaceship turns left too. This technology lets passengers save the galaxy from the backseat. —Alejandro de la Garza
",g3456
670,670,Shoot for the Stars,"{'Space', 'Time Off'}","
Have you ever wanted to explore outer space? The popular podcast The Alien Adventures of Finn Caspian takes listeners on a cosmic journey.
The show follows Finn Caspian and his friends as they travel on the Famous Marlowe 280 Interplanetary Exploratory Space Station. They’re on mission to find a planet where humans can live. Along the way, they make some unexpected new buddies, including robots and aliens.
Jonathan Messinger is the creator and host of this science-fiction podcast. He says he had the idea for it when his 5-year-old son, Griffin, got hooked on podcasts. Now 10, Griffin helps out as an editor on the show. Father and son work together to brainstorm ideas for each episode. Young listeners are also encouraged to send in ideas.
“I think kids are the most creative and imaginative people,” Messinger told TFK Kid Reporter Raunak Singh. “I always say that my podcast is kid-powered.”
",g3456
671,671,Rising Reporter,"{'Books', 'Time Off'}","
In Cub, Cindy just wants the seventh-grade bullies to leave her alone. So she pretends to be boring, hoping they won’t notice her. That begins to change when Cindy gets the opportunity of a lifetime: She becomes a cub reporter, or journalist-in-training, with a professional female journalist at a newspaper.
Cynthia L. Copeland is the author of this graphic novel. She’s also the main character. Cub is a memoir about her time as a cub reporter in the 1970s. “I gained confidence as a reporter, which translated to self-confidence in social situations and my family situation,” Copeland told TFK.
The book, she says, highlights the “importance of having interesting activities outside of school that provide balance and perspective to your life.”
",g3456
672,672,TFK Reads: Pavi Sharma's Guide to Going Home,"{'Books', 'Time Off'}","
Pavi Sharma’s Guide to Going Home, by Bridget Farr, is about a girl who has become an expert on foster care. After staying in several different foster homes, she’s now living with a wonderful, loving family. She uses her experience to help other kids find their way to foster families that are as great as her own.
Pavi Sharma’s Guide to Going Home is one of TFK’s recommended books of 2019. After we chose our picks, we handed them off to our team of TFK Kid Reporters. Here, TFK Kid Reporter Alexis Bumah shares her review.
We’ll be posting more reviews throughout our winter break. Check back next Monday to read about My Life as an Ice Cream Sandwich, by Ibi Zoboi.

Pavi Sharma is a 12-year-old who lives with her foster mom, Marjorie, and her foster brother, Hamilton. Pavi runs her own “business” in which she prepares other kids to meet their foster families. She makes sure they know how to do a proper “Front Door Face.” That’s the perfect smile to be used when arriving at a foster family’s home for the first time.
One day, Pavi finds out that a little girl is going to be sent to the worst foster home Pavi has ever stayed in. So Pavi enlists the help of some schoolmates to embark on an ambitious journey: to save her new young friend from a bad home.
Pavi and her friends are extremely believable, especially when it comes to their sense of curiosity. The characters make readers feel as if they are in the book. I think Pavi Sharma’s Guide to Going Home would be enjoyable for anyone with an adventurous spirit or who loves plot twists. I give this book a 9 out of 10. It was captivating.
",g3456
673,673,Frederick Douglass,"{'TFK Library', 'History'}","
In the years leading up to the Civil War, Frederick Douglass (February 1818—February 20, 1895) was the most powerful speaker and writer of the abolitionist movement.
Frederick Douglass was born into slavery in Talbot County, Maryland. He was raised by his grandmother, who was a slave. He was taken from her when he was a child and sent to Baltimore, Maryland. There, he worked as a servant in the household of shipbuilder Hugh Auld. Auld’s wife, Sophia, began teaching young Frederick to read and write. Then her husband told her to stop. It was against the law to teach a slave to read. But young Frederick found a way to keep learning. White friends secretly gave him books. 
As Douglass grew up, he developed ideas against slavery. He believed in human equality. He found that idea in the Declaration of Independence. Eventually, he was sent back to the Maryland plantation where he was born. There, he gained a reputation for disobedience. This was partly because he was teaching other slaves how to read the Bible. 
Before long, Douglass was sent to work for Edward Covey. Covey was known as a brutal “slave breaker.” He whipped his slaves. In his autobiography, Douglass writes about his victory over Covey. They fought hand to hand. After that, Covey never whipped Douglass again. In 1838, Douglass escaped from slavery. He disguised himself as a sailor and headed north. He made his way to New York City. 

The Abolitionist
In New York City, Douglass married Anna Murray. The couple settled in New Bedford, Massachusetts. They lived in a community of free black people. They became active in the  movement. Abolitionists wanted to abolish slavery. Douglass was a good storyteller. His stories about his life as a slave got the attention of William Lloyd Garrison. He was the editor of the abolitionist newspaper The Liberator. Garrison encouraged Douglass to write about his experiences. The result was the Narrative of the Life of Frederick Douglass, An American Slave. The book was published in 1845. It became a best-seller.
In 1847, Douglass’s supporters raised money to buy his freedom. He moved to Rochester, New York, and started an antislavery newspaper. It was called The North Star. In 1848, he spoke at a women’s-rights conference in Seneca Falls, New York. There, he met civil rights advocate Elizabeth Cady Stanton.
Power and Influence
During the Civil War, 1861–1865, Douglass asked President Abraham Lincoln to allow black men to join the Union Army. Two of Douglass’s sons, Charles and Lewis, joined the 54th Massachusetts Infantry. After the war, Douglass used his fame to the promote the passage of the 14th and 15th Amendments to the Constitution. These gave all American men equal rights, including the right to vote. The 13th Amendment, passed in 1865, had abolished slavery.
Later, Douglass held high-ranking positions in the U.S. government. He was ambassador to the Dominican Republic and Haiti. He was also director of the Freedman’s Bank. He spoke out against racial inequality and defended human rights. 
Douglass died in 1895, in Washington, D.C. He had just attended a meeting for the National Council of Women. Thousands of mourners attended his funeral.
",g3456
674,674,Fannie Lou Hamer,"{'TFK Library', 'History'}","
Fannie Lou Hamer (October 6, 1917—March 14, 1977) was a civil rights activist. She fought to expand voting rights for African Americans.
Fannie Lou Hamer was born in Montgomery County, Mississippi, during a time of segregation. African Americans in the South couldn’t eat at the same restaurants as white people. They couldn’t go to the same schools either. 
Hamer’s parents worked long hours on a cotton farm. She began picking cotton when she was only 6 years old. By age 12, Hamer had dropped out of school. She began working full-time in the fields.
But Hamer’s life changed in 1962. That’s when she attended a civil rights meeting. She was 45 years old. “They talked about how it was our rights as human beings to register and vote,” she told the New York Times. “I never knew we could vote before. Nobody ever told us.” 
At the time, African Americans had the legal right to vote. But many Southern states made it extremely difficult for them to register to vote. For example, African Americans often had to pass literacy tests before they could register. The tests required them to read and understand complicated government documents. In addition, many African Americans who attempted to register faced violence.
Braving Threats
Despite these challenges, Hamer decided to brave the voter-registration process. In 1962, she took a bus to the Sunflower County Courthouse, in Mississippi. There, she was allowed to complete the paperwork. But she was not allowed to register. Why? She was told she had failed the literacy test. 
Hamer’s right to vote was also challenged by her boss. He gave her a choice. She could either withdraw her voter-registration application or lose her job. Hamer walked off the plantation. She dedicated herself to the civil rights movement.

Call to Action
Within a few months, Hamer began working as an organizer with a major civil rights group. She traveled around the South to educate black people about voting rights. Her life was threatened many times.
In 1963, Hamer was arrested in Charleston, South Carolina, on false charges. In jail, she was badly beaten. The attack left her with kidney damage and a limp. But the beating didn’t stop Hamer from continuing her fight for justice.
In 1964, Hamer organized Freedom Summer. It was a major effort in Mississippi to help African Americans register to vote. That same year, she gained national attention when she spoke at the Democratic National Convention. It was held in Atlantic City, New Jersey.
During her speech, Hamer described the terrible effect of segregation. She also explained why the convention’s Mississippi delegation should be integrated. “Is this America, the land of the free and the home of the brave,” she said, “where we have to sleep with our telephones off the hooks because our lives be threatened daily because we want to live as decent human beings—in America?” 
Hamer’s speech was televised around the country. It became a key moment of the civil rights movement. Four years later, Hamer achieved her goal. She joined an integrated delegation from Mississippi at the 1968 Democratic National Convention. 
For the rest of her life, Hamer would continue to champion black voting rights. Andrew Young Jr. spoke at her funeral. He was U.S. ambassador to the United Nations. According to the New York Times, Young said that the civil rights movement was indebted to the “sweat and blood” of activists like Hamer.
",g3456
675,675,"Martin Luther King, Jr.","{'TFK Library', 'History'}","
Martin Luther King Jr. is considered one of history’s greatest activists. His leadership helped end  during the civil rights movement.
When Martin Luther King Jr. was born, his parents, Michael and Alberta, gave him a different name from the one we know today. They called him Michael. But Michael Sr. later changed his name to Martin. He changed his son’s name too. They took the name Martin Luther, after the famous religious leader. Young Martin grew up in Atlanta, Georgia. His father and grandfather were pastors. The King children grew up in a loving home. But they experienced racism from an early age.
Separate but Never Equal
King attended public schools in Georgia. The schools were segregated at the time. King skipped grades 9 and 11 and graduated from high school at age 15. Around that time, he joined the National Association for the Advancement of Colored People (NAACP), a civil rights organization. 
In 1948, King graduated from Morehouse College, in Atlanta. He went on to study religion at Crozer  Seminary. The school was in Chester, Pennsylvania. He graduated in 1951. Soon after, he enrolled in a Ph.D. program at Boston University, in Massachusetts. He met music student Coretta Scott in Boston. The couple married in 1953. They later had two sons and two daughters.
Peaceful Protests
In 1954, King moved to Montgomery, Alabama. He became a pastor at the Dexter Avenue Baptist Church. Soon after, on December 1, 1955, Rosa Parks refused to give up her seat to a white passenger on a Montgomery city bus. She was arrested. In response, the NAACP led a citywide  against segregated buses. King was chosen to lead the boycott. 
For 381 days, black people refused to ride the buses. The boycott ended on December 21, 1956. That was after a decision by the U.S. Supreme Court. The court ruled that all people had equal rights to seats on buses. It was a key victory for civil rights. Eight years later, the Civil Rights Act outlawed racial discrimination in all public places.

“I Have a Dream”
In the spring of 1963, King organized a protest in Birmingham, Alabama. The city police blasted protesters with fire hoses. They let attack dogs loose. King and others were jailed. People across the nation heard about the event. 
After their release, King laid out plans for a march on the nation’s capital. The March on Washington attracted more than 250,000 people. On August 28, 1963, King gave his “I Have a Dream” speech. He did so at the Lincoln Memorial. In his address, he spoke of a day when all people would be treated equally. King went on to win the 1964 Nobel Peace Prize. He was 35 years old. He was also the youngest person to have received the honor. 
The Promised Land
The fight for equal rights, however, was far from over. On March 7, 1965, King organized a march from Selma to Montgomery, in Alabama. Police used nightsticks and tear gas on protesters. Seventeen people were hospitalized. Soon after, President Lyndon Johnson signed the Voting Rights Act of 1965. The law stated that all citizens had a right to vote. It said they could not be  against because of the color of their skin. 
On April 3, 1968, King attended a labor strike in Memphis, Tennessee. He told supporters, “I want you to know tonight, that we, as a people, will get to the Promised Land.” The next day, he was struck by a bullet. The shot ended King’s life. He was 39 years old. The accused shooter, James Earl Ray, pleaded guilty. He was sentenced to 99 years in prison. 
King’s birthday is observed as a national holiday on the third Monday in January. On that day, Americans honor the civil rights leader’s service and commitment.
",g3456
